key,qtRet
RWDE05604054000000002211400858,1
RWES05559500000000001830007045,1
RWDE05641447000000001600004944,1
RWFR05478837000000002210015428,1
MLFR05530209000000001510001603,1
RWFR05715396000000002211400056,1
RWFR05543979000000002211400636,1
RWFR05478952000000007211003681,1
RWFR05492165000000002211400752,1
RWFR05475934000000002211400611,1
RWFR05476932000000009300001302,1
RWDE05592355000000001830007953,1
MLFR05624477000000007211003763,1
MLFR05638347000000007211004072,1
RWFR05569933000000001600005060,3
RWFR05570435000000002211400508,1
RWFR05533075000000001600005060,1
RWFR05536525000000001600004943,1
MLFR05478282000000001500888517,1
RWDE05760059000000002211400611,1
MLFR05533509000000007211003945,1
MLFR05545218000000001600005115,1
MLFR05750018000000007211003242,1
RWES05680081000000002211400728,1
RWFR05479396000000009300001302,1
MLFR05476047000000001600005060,1
RWFR05739957000000002211400609,1
RWFR05541188000000001830006741,1
MLFR05574470000000008010000956,1
MLFR05728803000000006100004405,1
RWDE05650631000000001830007350,1
RWFR05468283000000007211003681,1
MLFR05603221000000007211002935,1
MLFR05560397000000007211004190,1
RWFR05592194000000001600003348,1
RWFR05488505000000001600003348,1
RWIT05549400000000001830006479,1
RWFR05475934000000002211400482,1
MLFR05648240000000001600005108,1
RWDE05666248000000002211400632,1
RWFR05468703000000009300001302,1
RWFR05535477000000002211400513,1
MLFR05536095000000007211002652,1
MLFR05533135000000007211003583,1
MLFR05491816000000007211002554,1
RWFR05476827000000009300001302,1
RWFR05556489000000002210019195,1
RWDE05620640000000001830007299,1
RWFR05639302000000007211001965,1
RWES05680081000000002211400122,1
RWFR05578199000000001600005108,1
MLFR05739882000000007211004091,1
RWFR05466627000000001830005921,1
RWDE05591374000000001830008064,1
RWFR05476827000000002211400056,1
RWDE05638250000000001830007567,1
RWFR05563879000000002211400754,1
RWES05732315000000001830007602,1
RWFR05655541000000001600005133,1
MLFR05612065000000007211003904,1
RWFR05606698000000002210019197,1
MLFR05553314000000007211003763,1
RWES05617648000000001830006062,1
RWFR05532436000000001600005060,2
RWFR05527889000000001600005060,1
RWFR05479359000000002211400713,1
RWFR05468283000000007211001963,1
MLFR05570954000000007211004091,1
RWFR05478810000000001600005130,1
RWFR05479831000000002211400258,4
RWFR05669175000000001110030557,1
RWFR05476881000000001600005000,1
RWFR05479751000000002210019385,1
MLFR05614764000000007211004057,1
RWFR05606698000000001600005060,1
RWFR05492165000000001600005053,1
RWFR05479618000000002211400481,1
RWFR05479396000000001600005060,1
MLFR05731663000000007211003904,1
MLFR05736774000000007211004091,1
RWFR05475273000000002210015428,1
RWFR05479751000000009300001302,1
RWDE05623276000000002211400858,1
MLFR05560975000000007211004057,1
MLFR05607100000000009300001302,1
RWFR05503750000000007211004181,1
RWFR05711380000000002211400729,1
RWFR05478651000000001600005060,1
RWDE05671455000000002211400611,1
RWFR05480772000000001830007263,1
RWDE05715950000000001600004059,1
RWDE05626314000000002211400714,1
MLFR05607100000000007211003583,1
RWES05603691000000002211400858,1
RWFR05533824000000001600005060,2
RWFR05479056000000009300001302,1
MLFR05747752000000006100004405,1
RWFR05692663000000002211400056,1
RWES05668771000000002211400300,1
RWFR05685162000000002211400498,1
